"Analista  ",OT,Muestra,Cu %,Fe %,Ca g/t,Mo %
JSW,1296826,1,1.434,1.586,950.0,49.47
JSW,1296826,2,1.443,1.575,930.0,49.37
JSW,1296826,3,1.421,1.604,930.0,49.35
JSW,1296826,4,1.446,1.588,950.0,49.34
JSW,1296826,5,1.436,1.589,940.0,49.38
JSW,1296826,6,1.443,1.570,920.0,49.46
JSW,1296826,7,1.458,1.557,940.0,49.23
JSW,1296826,8,1.430,1.562,910.0,49.20
JSW,1296826,9,1.438,1.584,940.0,49.31
JSW,1296826,10,1.419,1.586,910.0,49.30
CSS,1296827,1,1.418,1.589,890.0,49.38
CSS,1296827,2,1.433,1.602,890.0,49.38
CSS,1296827,3,1.427,1.594,910.0,49.36
CSS,1296827,4,1.431,1.602,890.0,49.46
CSS,1296827,5,1.432,1.601,890.0,49.34
CSS,1296827,6,1.431,1.613,890.0,49.33
CSS,1296827,7,1.428,1.594,880.0,49.37
CSS,1296827,8,1.429,1.609,890.0,49.38
CSS,1296827,9,1.435,1.597,890.0,49.42
CSS,1296827,10,1.428,1.592,880.0,49.37
